"","ID","start_time","finish_time","age","sex","gender","ethnicity","nationality","religious_affiliation","christian_affiliation","religious_importance","CRS.1","CRS.2","CRS.3","CRS.4","CRS.5","TDDS.1","TDDS.2","TDDS.3","TDDS.4","TDDS.5","TDDS.6","TDDS.7","TDDS.8","TDDS.9","TDDS.10","TDDS.11","TDDS.12","TDDS.13","TDDS.14","TDDS.15","TDDS.16","TDDS.17","TDDS.18","TDDS.19","TDDS.20","TDDS.21","SOI.1","SOI.2","SOI.3","SOI.4","SOI.5","SOI.6","SOI.7","SOI.8","SOI.9","GENE.1","GENE.2","GENE.3","GENE.4","GENE.5","GENE.6","GENE.7","CONV.1","CONV.2","CONV.3","CONV.4","CONV.5","CONV.6","TRAD.1","TRAD.2","TRAD.3","TRAD.4","TRAD.5","TRAD.6","CRS","TDDS_f","TDDS_p","TDDS_s","TDDS_m","SOI_f","SOI_b","SOI_a","SOI_d","GENE_f","GENE_p","GENE_s","CONV","TRAD","CONV_f","GENE_p_2","SOI_a_r","SOI_a_r_z","CRS_z","religious_importance_z","GENE_p_z","GENE_p_2_z","CONV_f_z","TDDS_p_z","res_CONV_f","res_GENE_p","res_SOI_a_r","TDDS_s_z"
"1","2830818160",2024-06-20 16:12:00,2024-06-20 16:25:00,27,"Male","Male","African","Algeria","None",NA,0,5,1,1,1,1,1,1,4,4,3,2,2,2,4,4,2,2,2,1,4,1,3,1,4,1,1,5,5,5,7,6,9,3,3,2,2,1,2,2,2,2,4,2,2,4,1,1,3,3,2,1,2,3,2,1.8,49,18,13,18,5,5,7.33333333333333,2.66666666666667,15,5,10,13,13,26,3,2.66666666666667,-0.904932530105246,-0.629144022207513,-0.861624493178153,-0.891900894794917,-0.335007399525904,-0.927787775538785,-0.512849159509714,-0.755537275311486,-0.714960349203727,-0.665899931575544,-0.327634465145899
"2","5280152365",2024-06-20 21:25:00,2024-06-20 21:36:00,50,"Male","Male","White or Causasian","Australia","None",NA,0,2,3,2,2,2,2,0,5,5,0,2,4,2,2,5,2,2,5,0,4,4,0,5,5,0,3,1,1,1,7,3,5,4,4,6,3,2,1,3,2,2,3,1,5,6,5,5,6,3,6,3,5,5,5,2.2,57,23,4,30,3.55555555555556,1,5,4.66666666666667,16,6,10,28,27,55,3,5,0.067281229004106,-0.310715611668159,-0.861624493178153,-0.398109020090451,-0.335007399525904,1.88850680859398,0.274682227835171,1.92662812960173,-0.53506708822355,-0.141443155374257,-1.48705928670302
"3","1971185324",2024-06-20 21:18:00,2024-06-20 21:32:00,26,"Male","Male","East Asian","Australia","None",NA,0,1,2,1,1,2,0,0,4,0,3,3,0,0,4,3,2,3,0,0,4,4,5,3,0,5,3,2,1,1,1,1,1,2,2,1,3,1,1,3,1,1,3,3,3,4,1,1,4,1,4,4,0,3,3,1.4,46,24,15,7,1.33333333333333,1.33333333333333,1,1.66666666666667,13,5,8,16,15,31,2,9,1.73393338747728,-0.947572432746867,-0.861624493178153,-0.891900894794917,-0.918243173399314,-0.442219743791757,0.432188505304148,-0.642544779643972,-1.13266285812811,1.96224132242353,-0.0699845047998723
"4","4073829183",2024-06-20 16:31:00,2024-06-20 16:42:00,86,"Male","Male","White or Causasian","Australia","Christian","Catholic",1,2,2,2,1,2,0,1,2,2,3,1,2,3,0,4,0,1,2,0,2,2,3,0,4,4,0,1,5,7,9,7,9,3,2,1,2,2,3,2,1,2,2,4,5,5,5,3,4,0,4,3,3,4,4,1.8,36,6,14,16,4.88888888888889,4.33333333333333,8.33333333333333,2,14,7,7,26,18,44,5,1.66666666666667,-1.32159556972354,-0.629144022207513,-0.833560762925873,0.0956828546140142,0.831464148220918,0.820257138750516,-2.40292448913744,1.01491500029963,0.237579687868841,-1.47916455972253,-0.198809484972886
"5","8753896170",2024-06-20 16:30:00,2024-06-20 16:39:00,24,"Female","Female","White or Causasian","Australia","Christian","Jehovah’s Witness",100,5,5,5,5,4,4,5,5,4,5,1,4,5,2,5,5,3,5,5,3,4,5,3,4,5,3,1,3,4,1,1,2,2,1,1,3,1,1,4,2,1,4,1,3,3,1,4,5,1,4,0,2,1,3,4.8,85,20,35,30,1.77777777777778,2.66666666666667,1.33333333333333,1.33333333333333,16,5,11,17,11,28,2,8.66666666666667,1.59504570760452,1.75906905683764,1.94474853204991,-0.891900894794917,-0.918243173399314,-0.733560562839974,-0.19783660457176,-0.918821158552348,-1.09395733822081,1.86247247200015,2.5065150986604
"6","2112792630",2024-06-20 16:28:00,2024-06-20 16:36:00,20,"Female","Female","White or Causasian","Australia","None",NA,0,2,2,1,1,2,0,2,4,1,0,1,1,0,2,5,1,4,1,0,1,5,5,4,1,1,4,2,3,2,8,6,8,2,1,1,3,2,1,3,4,3,4,2,3,4,1,2,5,1,3,2,3,4,4,1.6,43,20,9,14,3.66666666666667,2.33333333333333,7.33333333333333,1.33333333333333,20,6,14,17,17,34,3,2.66666666666667,-0.904932530105246,-0.78835822747719,-0.861624493178153,-0.398109020090451,-0.335007399525904,-0.15087892474354,-0.19783660457176,0.00112479306458831,-0.262769849295829,-0.844838399469817,-0.842934385837954
"7","240851800",2024-06-20 16:19:00,2024-06-20 16:29:00,35,"Female","Female","White or Causasian","Australia","None",NA,5,2,2,1,1,1,1,1,4,3,1,2,4,2,2,3,1,4,4,1,3,3,3,3,3,2,3,2,2,4,8,8,8,2,2,2,3,2,2,2,2,3,2,2,3,3,2,2,4,2,2,3,2,3,4,1.4,53,21,11,21,4.22222222222222,2.66666666666667,8,2,16,7,9,16,16,32,4,2,-1.18270788985077,-0.947572432746867,-0.72130584191675,0.0956828546140142,0.248228374347507,-0.345106137442352,-0.040330327102783,-0.187499932734916,0.2905031752666,-1.17171827572104,-0.585284425491927
"8","7874148384",2024-06-20 16:23:00,2024-06-20 16:29:00,24,"Female","Female","Mixed","Australia","Agnostic",NA,15,3,3,1,2,2,4,5,5,5,0,2,2,2,4,4,5,4,3,2,5,4,2,5,2,2,5,2,2,2,5,1,1,7,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,1,3,3,2.2,72,30,18,24,2.66666666666667,2,2.33333333333333,3.66666666666667,8,4,4,0,13,13,2,7.66666666666667,1.17838266798622,-0.310715611668159,-0.440668539393943,-1.38569276949938,-0.918243173399314,-2.19026465808106,1.37722617011801,-2.31165330150304,-1.45295746675025,1.72872023314361,0.316490435719168
"9","7177180525",2024-06-21 09:47:00,2024-06-21 09:58:00,19,"Male","Male","White or Causasian","Austria","Christian","Catholic",10,2,2,2,1,1,1,4,3,5,3,1,4,3,1,4,3,5,4,4,1,3,4,3,3,3,4,1,1,1,3,2,2,1,1,1,4,2,3,1,1,2,3,3,4,4,5,3,4,1,5,2,3,4,4,1.6,66,18,24,24,1.44444444444444,1,2.33333333333333,1,16,9,7,23,19,42,5,7.66666666666667,1.17838266798622,-0.78835822747719,-0.580987190655347,1.08326660402295,0.831464148220918,0.626029926051705,-0.512849159509714,0.399024487153911,0.888719330513226,0.9605599172607,1.08944031675725
"10","1925540093",2024-06-20 21:20:00,2024-06-20 21:29:00,61,"Male","Male","White or Causasian","Belgium","None",NA,3,3,2,1,2,2,5,0,3,5,0,0,5,0,1,5,2,4,5,5,2,5,5,4,5,0,2,2,9,7,9,9,9,5,2,2,3,1,1,1,1,1,1,1,5,5,2,3,6,0,5,0,5,5,6,2,63,16,12,35,6,6,9,3,9,5,4,22,21,43,2,1,-1.59937092946907,-0.469929816937836,-0.777433302421311,-0.891900894794917,-0.918243173399314,0.72314353240111,-0.827861714447669,1.02051754917364,-0.721121792994853,-1.60927004232602,-0.456459445318913
"11","1778784368",2024-06-20 16:33:00,2024-06-20 16:45:00,32,"Male","Male","Latino or Hispanic","Brazil","None",NA,0,1,2,1,1,1,5,2,5,5,0,2,0,0,4,4,2,3,5,0,4,4,1,5,4,2,5,2,9,9,9,9,9,6,2,2,4,1,2,2,1,1,5,3,3,5,3,1,6,0,5,1,3,6,6,1.2,62,28,7,27,6.33333333333333,6.66666666666667,9,3.33333333333333,16,7,9,21,21,42,3,1,-1.59937092946907,-1.10678663801654,-0.861624493178153,0.0956828546140142,-0.335007399525904,0.626029926051705,1.06221361518006,0.858675783331206,0.290554023439787,-1.73456280633975,-1.10058434618398
"12","2237984497",2024-06-20 16:32:00,2024-06-20 16:37:00,23,"Male","Male","Latino or Hispanic","Brazil","Christian","Catholic",65,3,5,4,5,3,4,4,5,5,1,2,4,1,2,4,1,4,5,4,5,5,5,4,3,2,4,1,1,1,7,5,3,2,2,2,3,2,2,1,2,2,3,2,2,1,2,2,4,1,4,2,3,3,1,4,74,26,18,30,2.66666666666667,1,5,2,15,7,8,13,14,27,4,5,0.067281229004106,1.12221223575893,0.96251797322009,0.0956828546140142,0.248228374347507,-0.83067416918938,0.747201060242102,-0.855964489232829,0.13963918079314,0.172228300454303,0.316490435719168
"13","1973647705",2024-06-20 16:16:00,2024-06-20 16:29:00,27,"Male","Male","Mixed","Brazil","Christian","Catholic",10,2,5,2,3,5,0,2,1,3,3,4,1,3,1,3,0,0,5,0,1,3,4,1,5,0,3,2,2,1,4,4,8,2,1,1,4,3,2,2,1,1,5,5,4,3,4,3,3,0,6,1,4,3,3,3.4,43,11,12,20,2.77777777777778,1.66666666666667,5.33333333333333,1.33333333333333,18,9,9,22,17,39,5,4.66666666666667,-0.0716064508686585,0.644569619949902,-0.580987190655347,1.08326660402295,0.831464148220918,0.334689107003488,-1.61539310179255,0.281052255667582,1.08578366559524,-0.276394405107196,-0.456459445318913
"14","5543677673",2024-06-21 10:30:00,2024-06-21 10:35:00,41,"Male","Male","South Asian","Canada","None",NA,10,1,5,2,2,3,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,2,5,5,5,1,1,1,6,1,3,1,1,1,4,1,1,3,2,1,4,2,5,4,3,2,3,3,4,1,4,4,3,2.6,97,32,31,34,1.77777777777778,1,3.33333333333333,1,16,6,10,19,19,38,2,6.66666666666667,0.761719628367928,0.00771279887119447,-0.580987190655347,-0.398109020090451,-0.918243173399314,0.237575500654082,1.69223872505596,0.157391203944711,-0.52867254350607,0.800953122478313,1.99121517796834
"15","7338556383",2024-06-21 09:47:00,2024-06-21 09:57:00,28,"Female","Female","White or Causasian","Canada","None",NA,10,4,3,3,3,2,1,2,4,3,0,3,2,1,4,5,2,5,4,0,5,2,3,4,2,1,5,2,9,9,8,6,6,5,5,3,4,2,2,1,1,1,2,2,2,3,1,0,3,0,6,0,0,4,3,3,58,30,9,19,5.88888888888889,6.66666666666667,6.66666666666667,4.33333333333333,13,8,5,11,13,24,4,3.33333333333333,-0.627157170359717,0.326141209410548,-0.580987190655347,0.58947472931848,0.248228374347507,-1.1220149882376,1.37722617011801,-1.08474771829335,0.76002322724679,-0.567862465059268,-0.842934385837954
"16","1693488188",2024-06-21 09:49:00,2024-06-21 09:53:00,24,"Male","Male","White or Causasian","Canada","Christian","Catholic",31,2,2,4,3,2,2,3,5,4,1,1,2,0,2,3,1,4,3,1,4,3,3,4,4,1,3,2,1,3,7,5,7,7,7,5,2,1,2,1,1,2,1,1,3,3,1,0,2,1,3,1,2,4,3,2.6,54,23,10,21,4.88888888888889,2,6.33333333333333,6.33333333333333,10,5,5,10,14,24,3,3.66666666666667,-0.488269490486952,0.00771279887119447,0.00835114464254723,-0.891900894794917,-0.335007399525904,-1.1220149882376,0.274682227835171,-1.0110420757014,-0.763018647729262,-0.21244579492494,-0.71410940566494
"17","6041284851",2024-06-20 22:02:00,2024-06-20 22:08:00,22,"Male","Male","White or Causasian","Canada","Christian","Protestant",45,1,5,2,4,4,2,2,5,5,0,5,3,2,4,5,0,5,4,3,5,5,1,5,5,0,4,2,5,5,3,5,6,7,5,6,4,3,4,2,4,2,4,4,5,6,3,3,6,4,4,4,3,5,5,3.2,70,33,8,29,4.88888888888889,4,4.66666666666667,6,23,11,12,27,25,52,7,5.33333333333333,0.20616890887687,0.485355414680225,0.401243368174477,2.07085035343188,1.99793569596774,1.59716598954576,1.84974500252494,1.46688511177396,1.97398790331596,-0.315811205656075,-0.971759366010967
"18","1458721491",2024-06-20 21:26:00,2024-06-20 21:34:00,42,"Male","Male","White or Causasian","Canada","None",NA,14,2,2,2,1,1,4,2,3,4,0,2,2,2,2,2,2,1,4,1,2,4,2,2,2,1,2,2,6,8,7,6,8,1,1,2,3,2,2,3,2,2,2,4,4,4,3,2,4,2,5,2,2,4,3,1.6,46,14,10,22,4.55555555555556,5.33333333333333,7,1.33333333333333,16,7,9,21,18,39,4,3,-0.766044850232481,-0.78835822747719,-0.468732269646224,0.0956828546140142,0.248228374347507,0.334689107003488,-1.14287426938562,0.441946125294482,0.186871888837147,-0.842470612344973,-0.71410940566494
