ID,outcome,round,notes
982358902,rejected,1,
8617024812,returned,1,
1042744342,returned,1,
3102584076,returned,2,
6417972817,returned,2,
7815983199,returned,3,
932996259,timed_out,1,
8280179683,timed_out,1,
8592291237,timed_out,1,
7038831354,timed_out,3,
